title,douban_title,sub_title,author,publication,ibsn,douban_id,douban_rating,cover_url,device
Atlas Shrugged,,,AynRand,Penguin Classics,9780141188935,3319629,8.7,https://img1.doubanio.com/view/subject/l/public/s4737658.jpg,epub ibook
Atomic Habits,,An Easy & Proven Way to Build Good Habits & Break Bad Ones,JamesClear/詹姆斯·克利尔,Avery,9780735211292,30355759,8.8,https://img9.doubanio.com/view/subject/l/public/s29900086.jpg,epub ibook
Basic income,,And How We Can Make It Happen,GuyStanding,Penguin Random House UK,9780141985497,27106759,,https://img1.doubanio.com/view/subject/l/public/s29510548.jpg,epub ibook
Broke Millennial Takes on Investing,,A Beginner's Guide to Leveling-Up Your Money,ErinLowry,Tarcherperigee,9780143133643,30339350,,https://img3.doubanio.com/view/subject/l/public/s29882623.jpg,epub ibook
Building a Second Brain,,A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,TiagoForte,Atria Books,9781982167387,35761116,8.1,https://img3.doubanio.com/view/subject/l/public/s34114492.jpg,epub ibook
Bulletproof Problem Solving,,The One Skill That Changes Everything,CharlesConn/RobertMcLean,Wiley,9781119553021,32875781,,https://img2.doubanio.com/view/subject/l/public/s31766081.jpg,epub ibook
Central Banking 101,,,JosephJWang,Joseph,9780999136744,35542615,9.2,https://img1.doubanio.com/view/subject/l/public/s33953778.jpg,epub ibook
Clean Code,,A Handbook of Agile Software Craftsmanship,RobertC.Martin,Prentice Hall,9780132350884,3032825,8.8,https://img9.doubanio.com/view/subject/l/public/s29624974.jpg,epub ibook
Code Complete,,A Practical Handbook of Software Construction,SteveMcConnell,Microsoft Press,9780735619678,1432042,9.1,https://img3.doubanio.com/view/subject/l/public/s7057342.jpg,epub ibook
Computer Science Distilled,,Learn the Art of Solving Computational Problems,WladstonFerreiraFilho,Code Energy LLC,9780997316001,30153225,,https://img2.doubanio.com/view/subject/l/public/s29700511.jpg,epub ibook
Deep Work,,Rules for Focused Success in a Distracted World,CalNewport,Grand Central Publishing,9781455586691,26649613,8.2,https://img3.doubanio.com/view/subject/l/public/s29497013.jpg,epub 
DO IT TODAY,,"Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things",DariusForoux,,9789083023861,36536360,,https://img3.doubanio.com/view/subject/l/public/s34630607.jpg,epub ibook
Educated,,A Memoir,TaraWestover,Random House,9780399590504,30175475,8.7,https://img1.doubanio.com/view/subject/l/public/s29745220.jpg,epub ibook
Dune,,"Dune Chronicles, Book 1",FrankHerbert,ACE Charter; 25th Anniv edition,9780441172719,1291997,8.3,https://img3.doubanio.com/view/subject/l/public/s29956023.jpg,epub ibook
How Finance Works,,The HBR Guide to Thinking Smart About the Numbers,MihirDesai,Harvard Business Review Press,9781633696709,32391694,9.9,https://img3.doubanio.com/view/subject/l/public/s31284757.jpg,epub ibook
How To Win Friends And Influence People,,,DaleCarnegie,Simon & Schuster (New York),9780671723651,1417379,8.4,https://img1.doubanio.com/view/subject/l/public/s4655400.jpg,epub ibook
How We Learn,,Why Brains Learn Better Than Any Machine . . . for Now,StanislasDehaene,Viking,9780525559887,35013354,8.5,https://m.media-amazon.com/images/I/81hSpr0kXQL._SL1500_.jpg,epub ibook
How to Make Work Not Suck,,,,,,,,, ibook
I Used to Have a Plan,,But Life Had Other Ideas,AlessandraOlanow,Harper Design; Illustrated edition,9780062973627,35292267,7.7,https://img9.doubanio.com/view/subject/l/public/s33781174.jpg, ibook
Influence,,"The Psychology of Persuasion, Revised Edition",RobertB.Cialdini,Harper Business,9780061241895,2121856,8.8,https://img2.doubanio.com/view/subject/l/public/s29266061.jpg,epub ibook
Invent and Wander,,,,,,,,,epub ibook
