title,device,douban_id,cover_url
Atlas Shrugged,epub ibook,3319629,
Atomic Habits,epub ibook,30355759,
Basic Income And How We Can Make It Happen,epub ibook,27106759,
Broke Millennial,epub ibook,30339350,
Building a Second Brain,epub ibook,35761116,
Bulletproof Problem Solving,epub ibook,32875781,
Central Banking 101,epub ibook,35542615,
Clean Code Collection,epub ibook,3032825,
Code Complete,epub ibook,1432042,
Computer Science Distilled,epub ibook,30153225,
Deep Work,epub ,26649613,
Do It Today,epub ibook,36536360,
Educated,epub ibook,30175475,
Frank Herbert's Dune Saga Collection,epub ibook,1291997,
How Finance Works,epub ibook,32391694,
How To Win Friends And Influence People,epub ibook,1417379,
How We Learn,epub ibook,35013354,https://m.media-amazon.com/images/I/81hSpr0kXQL._SL1500_.jpg
How to Make Work Not Suck, ibook,,
I Used to Have a Plan But Life Had Other Ideas, ibook,35292267,
Influence,epub ibook,2121856,
Invent and Wander,epub ibook,,
Laws of Human Nature,epub ibook,30326100,
Letters to a Young Athlete,epub ,35515692,
Machine Learning in Action,epub pdf,6962285,
Never Split the Difference,epub ibook,26702646,
Nineteen Eighty-four,epub ibook,1424314,https://m.media-amazon.com/images/I/71kxa1-0mfL._SL1500_.jpg
On Tyranny,epub ibook,26986006,
Outliers,epub ibook,3134517,
Outlive,epub ,36333209,
Phoenix Project,epub ibook,20644908,
Rich Dad Poor Dad,epub ibook,6696686,
The 48 laws of power,epub ibook,1460211,
The 5 AM Club,epub ibook,30460599,
The Almanack of Naval Ravikant, ibook,35219712,
The Bullet Journal Method, ibook epub,30428358,
The Communication Book,epub ibook,30258458,
The Fountainhead,epub ibook,2472872,
The Grapes of Wrath,epub ibook,1859778,
The Heaven & Earth Grocery Store,epub ibook,36505589,
The Intelligence Trap,epub ibook,31931687,https://m.media-amazon.com/images/I/714LytqoJPL._SL1500_.jpg
The IIntelligent Investor,epub ibook,3635158,
The Millionaire Next Door,epub ibook,1620201,
The ONE Thing,epub ibook,20439782,
The Personal MBA,epub ibook,12273959,
The Pragmatic Programmer,ibook epub ,1417047,
The Psychology of Money,epub ibook,35060020,
The Road Less Traveled, ibook epub ,3798420,
The Start-Up of You,epub ibook,6933056,
This Is Now Your Company,epub ibook,32319020,
What Does It All Mean,epub ibook,11740734,
When Breath Becomes Air,epub ibook,26699448,https://m.media-amazon.com/images/I/717KRq4xxxL._SL1500_.jpg
Working Backwards,epub ibook,35363202,
Your Money or Your Life,epub ibook,1342400,https://m.media-amazon.com/images/I/71AL7FJJw3L._SL1500_.jpg
Your Next Five Moves,epub ibook,35189192,
Zero to One,epub ibook,24753651,
go程序设计语言,epub ibook,27044219,
万历十五年,epub ibook,1981042,
三体全集,epub ,33420947,
东野圭吾严选TOP10合集,epub ibook,6087394,https://pic1.zhimg.com/80/v2-184069776131110f7e87720866d32d0c_1440w.webp
两京十五日,epub ibook,35080870,
人类世的“资本论”, ,36403474,
你当像鸟飞往你的山,epub ,33440205,
兄弟,epub ibook,35907578,
共济会四百年, ,36105657,
切尔诺贝利的祭祷,epub ,30236335,
南货店,epub ibook,35114602,
卡夫卡中短篇德文直译全集,epub ibook,35218224,
卡片笔记写作法,epub ibook,35503571,
原则,epub ibook,27608239,
史蒂夫·乔布斯传（修订版）,epub ibook,25810506,
围城,epub ibook,27070488,
坚毅,epub ibook,27062574,
夜晚的潜水艇,epub ibook,35005045,
大道朝天,epub ibook,34884826,https://www.acgnbaike.com/article/17158.html
失落的卫星,epub ,35025453,
山居杂忆,epub ibook,26672748,
工作、消费主义和新穷人,epub ibook,35593780,
平凡的世界,epub ibook,10517238,
幻想三国志,epub ibook,1489475,
张北海作品系列（侠隐、一瓢纽约）,epub ibook,2079345,
愤怒的葡萄,epub ibook,33395266,
我与地坛（湖南文艺出版）,epub ibook,26932218,
我与地坛（人民文学出版）,epub ibook,5910656,
我辈孤雏,epub ibook,36536788,
战后日本经济史,epub ibook,30169979,
托尔金中洲三部曲,epub ,25957852,
拿下Offer数据分析师求职面试指南,epub ibook,35137589,
挽救计划,epub ibook,35494160,
掌控习惯,epub ibook,34326931,
撒马尔罕的荣光, ,36361872,
数据中台,epub ,34907496,
斯通纳,epub ibook,26425831,
无可慰藉,epub ,36538229,
日本的现代神话, ,36428853,
明朝那些事儿（图文增补版）,epub ibook,27127895,
未来算法,epub ibook,35498194,
沙丘六部曲繁体（简体）,epub ibook,35217704,
活着,epub ibook,27064488,
浮世画家,epub ,36536779,
浮木,epub ,35479662,
海伯利安四部曲,epub ibook,27117515,
消失的13级台阶,epub ibook,34996429,
源泉,epub ibook,20376604,
焦虑的人,epub ibook,35539713,
百年孤独,epub ,6082808,
睡眠革命,epub ibook,27023900,
石黑一雄中英双语作品集（套装共8册）,epub ibook,,
石黑一雄代表作5册套装,epub ,,
程序员面试金典,epub ,34813624,
纳瓦尔宝典,epub ibook,35876121,
美国四百年,epub ibook,35721558,
莫失莫忘,epub ,36536787,
薄世宁医学通识课,epub ibook,34842793,
薛兆丰经济学讲义,epub ibook,30280804,
被掩埋的巨人,epub ,36536782,
西方现代思想讲义,epub ,35313227,
足利女童连续失踪事件,epub ibook,35776315,
这么多年,epub ,35546311,
远山淡影,epub ,36536777,
邓小平时代,epub ibook,20424526,
那不勒斯四部曲,epub ,27204805,
长安的荔枝,epub ,36104107,
长日将尽,epub ibook,36536552,
阿特拉斯耸耸肩,epub ibook,20376605,
香帅金融学讲义,epub ibook,35217678,
鼠疫,epub ibook,24257229,
子弹笔记, ,30395230,
精准学习,epub,36319002,
克拉拉与太阳,epub,36536778,
